Matchday,Date,Team 1,FT,HT,Team 2,Comments
9,Sun Jun 21 2020,Santos FC,(*),,CA Mineiro,postponed
9,Sun Jun 21 2020,EC Bahia,(*),,Grêmio FBPA,postponed
9,Sun Jun 21 2020,CR Vasco da Gama,(*),,AC Goianiense,postponed
9,Sun Jun 21 2020,Fluminense FC,(*),,CR Flamengo,postponed
9,Sun Jun 21 2020,SC Corinthians Paulista,(*),,SE Palmeiras,postponed
9,Sun Jun 21 2020,CA Paranaense,(*),,Botafogo FR,postponed
9,Sun Jun 21 2020,Goiás EC,(*),,Coritiba FBC,postponed
9,Sun Jun 21 2020,Fortaleza EC,(*),,SC Recife,postponed
10,Wed Jun 24 2020,Grêmio FBPA,(*),,Fortaleza EC,postponed
10,Wed Jun 24 2020,Santos FC,(*),,São Paulo FC,postponed
10,Wed Jun 24 2020,Botafogo FR,(*),,CR Vasco da Gama,postponed
10,Wed Jun 24 2020,EC Bahia,(*),,AC Goianiense,postponed
10,Wed Jun 24 2020,CA Mineiro,(*),,RB Bragantino,postponed
10,Wed Jun 24 2020,Fluminense FC,(*),,SC Corinthians Paulista,postponed
10,Wed Jun 24 2020,SE Palmeiras,(*),,SC Recife,postponed
10,Wed Jun 24 2020,CA Paranaense,(*),,Coritiba FBC,postponed
10,Wed Jun 24 2020,Ceará SC,(*),,CR Flamengo,postponed
10,Wed Jun 24 2020,Goiás EC,(*),,SC Internacional,postponed
11,Sun Jun 28 2020,São Paulo FC,(*),,CA Paranaense,postponed
11,Sun Jun 28 2020,Grêmio FBPA,(*),,SE Palmeiras,postponed
11,Sun Jun 28 2020,Botafogo FR,(*),,Santos FC,postponed
11,Sun Jun 28 2020,AC Goianiense,(*),,CA Mineiro,postponed
11,Sun Jun 28 2020,Coritiba FBC,(*),,CR Vasco da Gama,postponed
11,Sun Jun 28 2020,CR Flamengo,(*),,Goiás EC,postponed
11,Sun Jun 28 2020,SC Corinthians Paulista,(*),,EC Bahia,postponed
11,Sun Jun 28 2020,SC Recife,(*),,Fluminense FC,postponed
11,Sun Jun 28 2020,Fortaleza EC,(*),,SC Internacional,postponed
11,Sun Jun 28 2020,RB Bragantino,(*),,Ceará SC,postponed
12,Wed Jul 1 2020,SC Internacional,(*),,São Paulo FC,postponed
12,Wed Jul 1 2020,Santos FC,(*),,Fortaleza EC,postponed
12,Wed Jul 1 2020,AC Goianiense,(*),,Botafogo FR,postponed
12,Wed Jul 1 2020,CA Mineiro,(*),,Grêmio FBPA,postponed
12,Wed Jul 1 2020,CR Vasco da Gama,(*),,RB Bragantino,postponed
12,Wed Jul 1 2020,Fluminense FC,(*),,Coritiba FBC,postponed
12,Wed Jul 1 2020,SC Recife,(*),,SC Corinthians Paulista,postponed
12,Wed Jul 1 2020,SE Palmeiras,(*),,CR Flamengo,postponed
12,Wed Jul 1 2020,CA Paranaense,(*),,EC Bahia,postponed
12,Wed Jul 1 2020,Ceará SC,(*),,Goiás EC,postponed
13,Sun Jul 5 2020,Grêmio FBPA,,,SC Internacional,
13,Sun Jul 5 2020,Botafogo FR,,,Fluminense FC,
13,Sun Jul 5 2020,EC Bahia,,,SC Recife,
13,Sun Jul 5 2020,CA Mineiro,,,CR Vasco da Gama,
13,Sun Jul 5 2020,Coritiba FBC,,,São Paulo FC,
13,Sun Jul 5 2020,CR Flamengo,,,CA Paranaense,
13,Sun Jul 5 2020,SE Palmeiras,,,Ceará SC,
13,Sun Jul 5 2020,Goiás EC,,,Santos FC,
13,Sun Jul 5 2020,Fortaleza EC,,,AC Goianiense,
13,Sun Jul 5 2020,RB Bragantino,,,SC Corinthians Paulista,
14,Wed Jul 8 2020,São Paulo FC,,,AC Goianiense,
14,Wed Jul 8 2020,Grêmio FBPA,,,Coritiba FBC,
14,Wed Jul 8 2020,Botafogo FR,,,SE Palmeiras,
14,Wed Jul 8 2020,EC Bahia,,,CR Vasco da Gama,
14,Wed Jul 8 2020,CR Flamengo,,,SC Recife,
14,Wed Jul 8 2020,SC Corinthians Paulista,,,Santos FC,
14,Wed Jul 8 2020,CA Paranaense,,,Ceará SC,
14,Wed Jul 8 2020,Goiás EC,,,Fluminense FC,
14,Wed Jul 8 2020,Fortaleza EC,,,CA Mineiro,
14,Wed Jul 8 2020,RB Bragantino,,,SC Internacional,
15,Sun Jul 12 2020,SC Internacional,,,CA Paranaense,
15,Sun Jul 12 2020,Santos FC,,,Grêmio FBPA,
15,Sun Jul 12 2020,AC Goianiense,,,RB Bragantino,
15,Sun Jul 12 2020,CA Mineiro,,,Goiás EC,
15,Sun Jul 12 2020,Coritiba FBC,,,Fortaleza EC,
15,Sun Jul 12 2020,CR Vasco da Gama,,,CR Flamengo,
15,Sun Jul 12 2020,Fluminense FC,,,EC Bahia,
15,Sun Jul 12 2020,SC Recife,,,Botafogo FR,
15,Sun Jul 12 2020,SE Palmeiras,,,São Paulo FC,
15,Sun Jul 12 2020,Ceará SC,,,SC Corinthians Paulista,
16,Sun Jul 19 2020,Grêmio FBPA,,,Botafogo FR,
16,Sun Jul 19 2020,Santos FC,,,AC Goianiense,
16,Sun Jul 19 2020,CA Mineiro,,,Fluminense FC,
16,Sun Jul 19 2020,CR Flamengo,,,RB Bragantino,
16,Sun Jul 19 2020,CR Vasco da Gama,,,Fortaleza EC,
16,Sun Jul 19 2020,SC Recife,,,SC Internacional,
16,Sun Jul 19 2020,SE Palmeiras,,,Coritiba FBC,
16,Sun Jul 19 2020,CA Paranaense,,,SC Corinthians Paulista,
16,Sun Jul 19 2020,Ceará SC,,,São Paulo FC,
16,Sun Jul 19 2020,Goiás EC,,,EC Bahia,
17,Sun Aug 2 2020,São Paulo FC,,,Grêmio FBPA,
17,Sun Aug 2 2020,SC Internacional,,,CR Vasco da Gama,
17,Sun Aug 2 2020,Botafogo FR,,,Goiás EC,
17,Sun Aug 2 2020,AC Goianiense,,,CA Paranaense,
17,Sun Aug 2 2020,EC Bahia,,,CA Mineiro,
17,Sun Aug 2 2020,Coritiba FBC,,,Santos FC,
17,Sun Aug 2 2020,Fluminense FC,,,Ceará SC,
17,Sun Aug 2 2020,SC Corinthians Paulista,,,CR Flamengo,
17,Sun Aug 2 2020,Fortaleza EC,,,SE Palmeiras,
17,Sun Aug 2 2020,RB Bragantino,,,SC Recife,
18,Sun Aug 9 2020,São Paulo FC,,,Botafogo FR,
18,Sun Aug 9 2020,SC Internacional,,,CR Flamengo,
18,Sun Aug 9 2020,AC Goianiense,,,SE Palmeiras,
18,Sun Aug 9 2020,EC Bahia,,,Fortaleza EC,
18,Sun Aug 9 2020,CA Mineiro,,,SC Recife,
18,Sun Aug 9 2020,CR Vasco da Gama,,,SC Corinthians Paulista,
18,Sun Aug 9 2020,Fluminense FC,,,Santos FC,
18,Sun Aug 9 2020,CA Paranaense,,,Grêmio FBPA,
18,Sun Aug 9 2020,Ceará SC,,,Coritiba FBC,
18,Sun Aug 9 2020,RB Bragantino,,,Goiás EC,
19,Sun Aug 16 2020,Grêmio FBPA,,,RB Bragantino,
19,Sun Aug 16 2020,Santos FC,,,EC Bahia,
19,Sun Aug 16 2020,Botafogo FR,,,Ceará SC,
19,Sun Aug 16 2020,Coritiba FBC,,,AC Goianiense,
19,Sun Aug 16 2020,CR Flamengo,,,São Paulo FC,
19,Sun Aug 16 2020,SC Corinthians Paulista,,,SC Internacional,
19,Sun Aug 16 2020,SC Recife,,,CA Paranaense,
19,Sun Aug 16 2020,SE Palmeiras,,,CA Mineiro,
19,Sun Aug 16 2020,Goiás EC,,,CR Vasco da Gama,
19,Sun Aug 16 2020,Fortaleza EC,,,Fluminense FC,
20,Sun Aug 23 2020,São Paulo FC,,,Goiás EC,
20,Sun Aug 23 2020,SC Internacional,,,Coritiba FBC,
20,Sun Aug 23 2020,AC Goianiense,,,SC Corinthians Paulista,
20,Sun Aug 23 2020,EC Bahia,,,Botafogo FR,
20,Sun Aug 23 2020,CA Mineiro,,,CR Flamengo,
20,Sun Aug 23 2020,CR Vasco da Gama,,,SE Palmeiras,
20,Sun Aug 23 2020,Fluminense FC,,,Grêmio FBPA,
20,Sun Aug 23 2020,CA Paranaense,,,Fortaleza EC,
20,Sun Aug 23 2020,Ceará SC,,,SC Recife,
20,Sun Aug 23 2020,RB Bragantino,,,Santos FC,
21,Sun Aug 30 2020,Grêmio FBPA,,,Ceará SC,
21,Sun Aug 30 2020,Santos FC,,,SC Internacional,
21,Sun Aug 30 2020,Botafogo FR,,,RB Bragantino,
21,Sun Aug 30 2020,Coritiba FBC,,,EC Bahia,
21,Sun Aug 30 2020,CR Flamengo,,,AC Goianiense,
21,Sun Aug 30 2020,SC Corinthians Paulista,,,CA Mineiro,
21,Sun Aug 30 2020,SC Recife,,,CR Vasco da Gama,
21,Sun Aug 30 2020,SE Palmeiras,,,Fluminense FC,
21,Sun Aug 30 2020,Goiás EC,,,CA Paranaense,
21,Sun Aug 30 2020,Fortaleza EC,,,São Paulo FC,
22,Sun Sep 13 2020,São Paulo FC,,,CR Vasco da Gama,
22,Sun Sep 13 2020,SC Internacional,,,Fluminense FC,
22,Sun Sep 13 2020,Botafogo FR,,,Fortaleza EC,
22,Sun Sep 13 2020,CR Flamengo,,,Coritiba FBC,
22,Sun Sep 13 2020,SC Corinthians Paulista,,,Grêmio FBPA,
22,Sun Sep 13 2020,SC Recife,,,AC Goianiense,
22,Sun Sep 13 2020,CA Paranaense,,,Santos FC,
22,Sun Sep 13 2020,Ceará SC,,,CA Mineiro,
22,Sun Sep 13 2020,Goiás EC,,,SE Palmeiras,
22,Sun Sep 13 2020,RB Bragantino,,,EC Bahia,
23,Sun Sep 20 2020,Grêmio FBPA,,,CR Flamengo,
23,Sun Sep 20 2020,Santos FC,,,SC Recife,
23,Sun Sep 20 2020,AC Goianiense,,,SC Internacional,
23,Sun Sep 20 2020,EC Bahia,,,São Paulo FC,
23,Sun Sep 20 2020,CA Mineiro,,,Botafogo FR,
23,Sun Sep 20 2020,Coritiba FBC,,,SC Corinthians Paulista,
23,Sun Sep 20 2020,CR Vasco da Gama,,,Ceará SC,
23,Sun Sep 20 2020,Fluminense FC,,,RB Bragantino,
23,Sun Sep 20 2020,SE Palmeiras,,,CA Paranaense,
23,Sun Sep 20 2020,Fortaleza EC,,,Goiás EC,
24,Sun Sep 27 2020,São Paulo FC,,,SC Recife,
24,Sun Sep 27 2020,Grêmio FBPA,,,CR Vasco da Gama,
24,Sun Sep 27 2020,Santos FC,,,SE Palmeiras,
24,Sun Sep 27 2020,Botafogo FR,,,CR Flamengo,
24,Sun Sep 27 2020,AC Goianiense,,,Goiás EC,
24,Sun Sep 27 2020,EC Bahia,,,Ceará SC,
24,Sun Sep 27 2020,CA Mineiro,,,SC Internacional,
24,Sun Sep 27 2020,Coritiba FBC,,,RB Bragantino,
24,Sun Sep 27 2020,Fluminense FC,,,CA Paranaense,
24,Sun Sep 27 2020,Fortaleza EC,,,SC Corinthians Paulista,
25,Sat Oct 3 2020,SC Internacional,,,Botafogo FR,
25,Sat Oct 3 2020,CR Flamengo,,,Santos FC,
25,Sat Oct 3 2020,CR Vasco da Gama,,,Fluminense FC,
25,Sat Oct 3 2020,SC Corinthians Paulista,,,São Paulo FC,
25,Sat Oct 3 2020,SC Recife,,,Coritiba FBC,
25,Sat Oct 3 2020,SE Palmeiras,,,EC Bahia,
25,Sat Oct 3 2020,CA Paranaense,,,CA Mineiro,
25,Sat Oct 3 2020,Ceará SC,,,AC Goianiense,
25,Sat Oct 3 2020,Goiás EC,,,Grêmio FBPA,
25,Sat Oct 3 2020,RB Bragantino,,,Fortaleza EC,
26,Wed Oct 14 2020,São Paulo FC,,,CA Mineiro,
26,Wed Oct 14 2020,SC Internacional,,,SE Palmeiras,
26,Wed Oct 14 2020,AC Goianiense,,,Fluminense FC,
26,Wed Oct 14 2020,Coritiba FBC,,,Botafogo FR,
26,Wed Oct 14 2020,CR Flamengo,,,EC Bahia,
26,Wed Oct 14 2020,CR Vasco da Gama,,,Santos FC,
26,Wed Oct 14 2020,SC Corinthians Paulista,,,Goiás EC,
26,Wed Oct 14 2020,SC Recife,,,Grêmio FBPA,
26,Wed Oct 14 2020,Fortaleza EC,,,Ceará SC,
26,Wed Oct 14 2020,RB Bragantino,,,CA Paranaense,
27,Sun Oct 18 2020,Grêmio FBPA,,,AC Goianiense,
27,Sun Oct 18 2020,Santos FC,,,Ceará SC,
27,Sun Oct 18 2020,Botafogo FR,,,SC Corinthians Paulista,
27,Sun Oct 18 2020,EC Bahia,,,SC Internacional,
27,Sun Oct 18 2020,CA Mineiro,,,Coritiba FBC,
27,Sun Oct 18 2020,Fluminense FC,,,São Paulo FC,
27,Sun Oct 18 2020,SE Palmeiras,,,RB Bragantino,
27,Sun Oct 18 2020,CA Paranaense,,,CR Vasco da Gama,
27,Sun Oct 18 2020,Goiás EC,,,SC Recife,
27,Sun Oct 18 2020,Fortaleza EC,,,CR Flamengo,
28,Wed Oct 21 2020,Grêmio FBPA,,,EC Bahia,
28,Wed Oct 21 2020,Botafogo FR,,,CA Paranaense,
28,Wed Oct 21 2020,AC Goianiense,,,CR Vasco da Gama,
28,Wed Oct 21 2020,CA Mineiro,,,Santos FC,
28,Wed Oct 21 2020,Coritiba FBC,,,Goiás EC,
28,Wed Oct 21 2020,CR Flamengo,,,Fluminense FC,
28,Wed Oct 21 2020,SC Recife,,,Fortaleza EC,
28,Wed Oct 21 2020,SE Palmeiras,,,SC Corinthians Paulista,
28,Wed Oct 21 2020,Ceará SC,,,SC Internacional,
28,Wed Oct 21 2020,RB Bragantino,,,São Paulo FC,
29,Sat Oct 24 2020,SC Recife,,,SE Palmeiras,
29,Sat Oct 24 2020,Fortaleza EC,,,Grêmio FBPA,
29,Sat Oct 24 2020,RB Bragantino,,,CA Mineiro,
29,Sat Oct 24 2020,São Paulo FC,,,Santos FC,
29,Sat Oct 24 2020,SC Internacional,,,Goiás EC,
29,Sat Oct 24 2020,AC Goianiense,,,EC Bahia,
29,Sat Oct 24 2020,Coritiba FBC,,,CA Paranaense,
29,Sat Oct 24 2020,CR Flamengo,,,Ceará SC,
29,Sat Oct 24 2020,CR Vasco da Gama,,,Botafogo FR,
29,Sat Oct 24 2020,SC Corinthians Paulista,,,Fluminense FC,
30,Wed Oct 28 2020,SC Internacional,,,Fortaleza EC,
30,Wed Oct 28 2020,Santos FC,,,Botafogo FR,
30,Wed Oct 28 2020,EC Bahia,,,SC Corinthians Paulista,
30,Wed Oct 28 2020,CA Mineiro,,,AC Goianiense,
30,Wed Oct 28 2020,CR Vasco da Gama,,,Coritiba FBC,
30,Wed Oct 28 2020,Fluminense FC,,,SC Recife,
30,Wed Oct 28 2020,SE Palmeiras,,,Grêmio FBPA,
30,Wed Oct 28 2020,CA Paranaense,,,São Paulo FC,
30,Wed Oct 28 2020,Ceará SC,,,RB Bragantino,
30,Wed Oct 28 2020,Goiás EC,,,CR Flamengo,
31,Sun Nov 1 2020,São Paulo FC,,,SC Internacional,
31,Sun Nov 1 2020,Grêmio FBPA,,,CA Mineiro,
31,Sun Nov 1 2020,Botafogo FR,,,AC Goianiense,
31,Sun Nov 1 2020,EC Bahia,,,CA Paranaense,
31,Sun Nov 1 2020,Coritiba FBC,,,Fluminense FC,
31,Sun Nov 1 2020,CR Flamengo,,,SE Palmeiras,
31,Sun Nov 1 2020,SC Corinthians Paulista,,,SC Recife,
31,Sun Nov 1 2020,Goiás EC,,,Ceará SC,
31,Sun Nov 1 2020,Fortaleza EC,,,Santos FC,
31,Sun Nov 1 2020,RB Bragantino,,,CR Vasco da Gama,
32,Wed Nov 4 2020,São Paulo FC,,,Coritiba FBC,
32,Wed Nov 4 2020,SC Internacional,,,Grêmio FBPA,
32,Wed Nov 4 2020,Santos FC,,,Goiás EC,
32,Wed Nov 4 2020,AC Goianiense,,,Fortaleza EC,
32,Wed Nov 4 2020,CR Vasco da Gama,,,CA Mineiro,
32,Wed Nov 4 2020,Fluminense FC,,,Botafogo FR,
32,Wed Nov 4 2020,SC Corinthians Paulista,,,RB Bragantino,
32,Wed Nov 4 2020,SC Recife,,,EC Bahia,
32,Wed Nov 4 2020,CA Paranaense,,,CR Flamengo,
32,Wed Nov 4 2020,Ceará SC,,,SE Palmeiras,
33,Sun Nov 8 2020,SC Internacional,,,RB Bragantino,
33,Sun Nov 8 2020,Santos FC,,,SC Corinthians Paulista,
33,Sun Nov 8 2020,AC Goianiense,,,São Paulo FC,
33,Sun Nov 8 2020,CA Mineiro,,,Fortaleza EC,
33,Sun Nov 8 2020,Coritiba FBC,,,Grêmio FBPA,
33,Sun Nov 8 2020,CR Vasco da Gama,,,EC Bahia,
33,Sun Nov 8 2020,Fluminense FC,,,Goiás EC,
33,Sun Nov 8 2020,SC Recife,,,CR Flamengo,
33,Sun Nov 8 2020,SE Palmeiras,,,Botafogo FR,
33,Sun Nov 8 2020,Ceará SC,,,CA Paranaense,
34,Wed Nov 18 2020,São Paulo FC,,,SE Palmeiras,
34,Wed Nov 18 2020,Grêmio FBPA,,,Santos FC,
34,Wed Nov 18 2020,Botafogo FR,,,SC Recife,
34,Wed Nov 18 2020,EC Bahia,,,Fluminense FC,
34,Wed Nov 18 2020,CR Flamengo,,,CR Vasco da Gama,
34,Wed Nov 18 2020,SC Corinthians Paulista,,,Ceará SC,
34,Wed Nov 18 2020,CA Paranaense,,,SC Internacional,
34,Wed Nov 18 2020,Goiás EC,,,CA Mineiro,
34,Wed Nov 18 2020,Fortaleza EC,,,Coritiba FBC,
34,Wed Nov 18 2020,RB Bragantino,,,AC Goianiense,
35,Sun Nov 22 2020,São Paulo FC,,,Ceará SC,
35,Sun Nov 22 2020,SC Internacional,,,SC Recife,
35,Sun Nov 22 2020,Botafogo FR,,,Grêmio FBPA,
35,Sun Nov 22 2020,AC Goianiense,,,Santos FC,
35,Sun Nov 22 2020,EC Bahia,,,Goiás EC,
35,Sun Nov 22 2020,Coritiba FBC,,,SE Palmeiras,
35,Sun Nov 22 2020,Fluminense FC,,,CA Mineiro,
35,Sun Nov 22 2020,SC Corinthians Paulista,,,CA Paranaense,
35,Sun Nov 22 2020,Fortaleza EC,,,CR Vasco da Gama,
35,Sun Nov 22 2020,RB Bragantino,,,CR Flamengo,
36,Sun Nov 29 2020,Grêmio FBPA,,,São Paulo FC,
36,Sun Nov 29 2020,Santos FC,,,Coritiba FBC,
36,Sun Nov 29 2020,CA Mineiro,,,EC Bahia,
36,Sun Nov 29 2020,CR Flamengo,,,SC Corinthians Paulista,
36,Sun Nov 29 2020,CR Vasco da Gama,,,SC Internacional,
36,Sun Nov 29 2020,SC Recife,,,RB Bragantino,
36,Sun Nov 29 2020,SE Palmeiras,,,Fortaleza EC,
36,Sun Nov 29 2020,CA Paranaense,,,AC Goianiense,
36,Sun Nov 29 2020,Ceará SC,,,Fluminense FC,
36,Sun Nov 29 2020,Goiás EC,,,Botafogo FR,
37,Wed Dec 2 2020,Grêmio FBPA,,,CA Paranaense,
37,Wed Dec 2 2020,Santos FC,,,Fluminense FC,
37,Wed Dec 2 2020,Botafogo FR,,,São Paulo FC,
37,Wed Dec 2 2020,Coritiba FBC,,,Ceará SC,
37,Wed Dec 2 2020,CR Flamengo,,,SC Internacional,
37,Wed Dec 2 2020,SC Corinthians Paulista,,,CR Vasco da Gama,
37,Wed Dec 2 2020,SC Recife,,,CA Mineiro,
37,Wed Dec 2 2020,SE Palmeiras,,,AC Goianiense,
37,Wed Dec 2 2020,Goiás EC,,,RB Bragantino,
37,Wed Dec 2 2020,Fortaleza EC,,,EC Bahia,
38,Sun Dec 6 2020,São Paulo FC,,,CR Flamengo,
38,Sun Dec 6 2020,SC Internacional,,,SC Corinthians Paulista,
38,Sun Dec 6 2020,AC Goianiense,,,Coritiba FBC,
38,Sun Dec 6 2020,EC Bahia,,,Santos FC,
38,Sun Dec 6 2020,CA Mineiro,,,SE Palmeiras,
38,Sun Dec 6 2020,CR Vasco da Gama,,,Goiás EC,
38,Sun Dec 6 2020,Fluminense FC,,,Fortaleza EC,
38,Sun Dec 6 2020,CA Paranaense,,,SC Recife,
38,Sun Dec 6 2020,Ceará SC,,,Botafogo FR,
38,Sun Dec 6 2020,RB Bragantino,,,Grêmio FBPA,
