Round,Date,Time,Team 1,FT,Team 2,Venue,Att
1,Fri Sep 18 2020,20:30,Bayern Munich,8-0,Schalke 04,Allianz Arena,
1,Sat Sep 19 2020,15:30,Köln,2-3,Hoffenheim,RheinEnergieSTADION,
1,Sat Sep 19 2020,15:30,Eint Frankfurt,1-1,Arminia,Commerzbank-Arena,6500
1,Sat Sep 19 2020,15:30,Werder Bremen,1-4,Hertha BSC,Weserstadion,8400
1,Sat Sep 19 2020,15:30,Union Berlin,1-3,Augsburg,Stadion An der Alten Försterei,4600
1,Sat Sep 19 2020,15:30,Stuttgart,2-3,Freiburg,Mercedes-Benz Arena,7123
1,Sat Sep 19 2020,18:30,Dortmund,3-0,M'Gladbach,Signal Iduna Park,9300
1,Sun Sep 20 2020,15:30,RB Leipzig,3-1,Mainz 05,Red Bull Arena,8500
1,Sun Sep 20 2020,18:00,Wolfsburg,0-0,Leverkusen,Volkswagen Arena,
2,Fri Sep 25 2020,20:30,Hertha BSC,1-3,Eint Frankfurt,Olympiastadion Berlin,4000
2,Sat Sep 26 2020,15:30,Mainz 05,1-4,Stuttgart,Opel Arena,3403
2,Sat Sep 26 2020,15:30,Leverkusen,1-1,RB Leipzig,BayArena,6042
2,Sat Sep 26 2020,15:30,Arminia,1-0,Köln,SchücoArena,5460
2,Sat Sep 26 2020,15:30,M'Gladbach,1-1,Union Berlin,Stadion im Borussia-Park,10383
2,Sat Sep 26 2020,15:30,Augsburg,2-0,Dortmund,WWK Arena,6000
2,Sat Sep 26 2020,18:30,Schalke 04,1-3,Werder Bremen,Veltins-Arena,
2,Sun Sep 27 2020,15:30,Hoffenheim,4-1,Bayern Munich,PreZero Arena,
2,Sun Sep 27 2020,18:00,Freiburg,1-1,Wolfsburg,Schwarzwald-Stadion,3200
3,Fri Oct 2 2020,20:30,Union Berlin,4-0,Mainz 05,Stadion An der Alten Försterei,4400
3,Sat Oct 3 2020,15:30,Stuttgart,1-1,Leverkusen,Mercedes-Benz Arena,9500
3,Sat Oct 3 2020,15:30,Werder Bremen,1-0,Arminia,Weserstadion,300
3,Sat Oct 3 2020,15:30,Köln,1-3,M'Gladbach,RheinEnergieSTADION,300
3,Sat Oct 3 2020,15:30,Dortmund,4-0,Freiburg,Signal Iduna Park,11500
3,Sat Oct 3 2020,15:30,Eint Frankfurt,2-1,Hoffenheim,Commerzbank-Arena,8000
3,Sat Oct 3 2020,18:30,RB Leipzig,4-0,Schalke 04,Red Bull Arena,8500
3,Sun Oct 4 2020,15:30,Wolfsburg,0-0,Augsburg,Volkswagen Arena,4632
3,Sun Oct 4 2020,18:00,Bayern Munich,4-3,Hertha BSC,Allianz Arena,
4,Sat Oct 17 2020,15:30,Hertha BSC,0-2,Stuttgart,Olympiastadion Berlin,4000
4,Sat Oct 17 2020,15:30,Freiburg,1-1,Werder Bremen,Schwarzwald-Stadion,
4,Sat Oct 17 2020,15:30,Hoffenheim,0-1,Dortmund,PreZero Arena,6030
4,Sat Oct 17 2020,15:30,Augsburg,0-2,RB Leipzig,WWK Arena,
4,Sat Oct 17 2020,15:30,Mainz 05,0-1,Leverkusen,Opel Arena,250
4,Sat Oct 17 2020,18:30,Arminia,1-4,Bayern Munich,SchücoArena,
4,Sat Oct 17 2020,20:30,M'Gladbach,1-1,Wolfsburg,Stadion im Borussia-Park,300
4,Sun Oct 18 2020,15:30,Köln,1-1,Eint Frankfurt,RheinEnergieSTADION,300
4,Sun Oct 18 2020,18:00,Schalke 04,1-1,Union Berlin,Veltins-Arena,300
5,Fri Oct 23 2020,20:30,Stuttgart,1-1,Köln,Mercedes-Benz Arena,
5,Sat Oct 24 2020,15:30,Union Berlin,1-1,Freiburg,Stadion An der Alten Försterei,4500
5,Sat Oct 24 2020,15:30,RB Leipzig,2-1,Hertha BSC,Red Bull Arena,999
5,Sat Oct 24 2020,15:30,Mainz 05,2-3,M'Gladbach,Opel Arena,100
5,Sat Oct 24 2020,15:30,Bayern Munich,5-0,Eint Frankfurt,Allianz Arena,
5,Sat Oct 24 2020,18:30,Dortmund,3-0,Schalke 04,Signal Iduna Park,300
5,Sun Oct 25 2020,15:30,Wolfsburg,2-1,Arminia,Volkswagen Arena,4519
5,Sun Oct 25 2020,18:00,Werder Bremen,1-1,Hoffenheim,Weserstadion,
5,Mon Oct 26 2020,20:30,Leverkusen,3-1,Augsburg,BayArena,
6,Fri Oct 30 2020,20:30,Schalke 04,1-1,Stuttgart,Veltins-Arena,
6,Sat Oct 31 2020,15:30,Arminia,0-2,Dortmund,SchücoArena,
6,Sat Oct 31 2020,15:30,Köln,1-2,Bayern Munich,RheinEnergieSTADION,
6,Sat Oct 31 2020,15:30,Augsburg,3-1,Mainz 05,WWK Arena,
6,Sat Oct 31 2020,15:30,Eint Frankfurt,1-1,Werder Bremen,Commerzbank-Arena,
6,Sat Oct 31 2020,18:30,M'Gladbach,1-0,RB Leipzig,Stadion im Borussia-Park,
6,Sun Nov 1 2020,15:30,Freiburg,2-4,Leverkusen,Schwarzwald-Stadion,
6,Sun Nov 1 2020,18:00,Hertha BSC,1-1,Wolfsburg,Olympiastadion Berlin,
6,Mon Nov 2 2020,20:30,Hoffenheim,1-3,Union Berlin,PreZero Arena,
7,Fri Nov 6 2020,20:30,Werder Bremen,1-1,Köln,Weserstadion,
7,Sat Nov 7 2020,15:30,Augsburg,0-3,Hertha BSC,WWK Arena,
7,Sat Nov 7 2020,15:30,RB Leipzig,3-0,Freiburg,Red Bull Arena,
7,Sat Nov 7 2020,15:30,Mainz 05,2-2,Schalke 04,Opel Arena,
7,Sat Nov 7 2020,15:30,Stuttgart,2-2,Eint Frankfurt,Mercedes-Benz Arena,
7,Sat Nov 7 2020,15:30,Union Berlin,5-0,Arminia,Stadion An der Alten Försterei,
7,Sat Nov 7 2020,18:30,Dortmund,2-3,Bayern Munich,Signal Iduna Park,
7,Sun Nov 8 2020,15:30,Wolfsburg,2-1,Hoffenheim,Volkswagen Arena,
7,Sun Nov 8 2020,18:00,Leverkusen,4-3,M'Gladbach,BayArena,
8,Sat Nov 21 2020,15:30,Arminia,1-2,Leverkusen,SchücoArena,
8,Sat Nov 21 2020,15:30,Bayern Munich,1-1,Werder Bremen,Allianz Arena,
8,Sat Nov 21 2020,15:30,Schalke 04,0-2,Wolfsburg,Veltins-Arena,
8,Sat Nov 21 2020,15:30,M'Gladbach,1-1,Augsburg,Stadion im Borussia-Park,
8,Sat Nov 21 2020,15:30,Hoffenheim,3-3,Stuttgart,PreZero Arena,
8,Sat Nov 21 2020,18:30,Eint Frankfurt,1-1,RB Leipzig,Commerzbank-Arena,
8,Sat Nov 21 2020,20:30,Hertha BSC,2-5,Dortmund,Olympiastadion Berlin,
8,Sun Nov 22 2020,15:30,Freiburg,1-3,Mainz 05,Schwarzwald-Stadion,
8,Sun Nov 22 2020,18:00,Köln,1-2,Union Berlin,RheinEnergieSTADION,
9,Fri Nov 27 2020,20:30,Wolfsburg,5-3,Werder Bremen,Volkswagen Arena,
9,Sat Nov 28 2020,15:30,Dortmund,1-2,Köln,Signal Iduna Park,
9,Sat Nov 28 2020,15:30,RB Leipzig,2-1,Arminia,Red Bull Arena,
9,Sat Nov 28 2020,15:30,Stuttgart,1-3,Bayern Munich,Mercedes-Benz Arena,
9,Sat Nov 28 2020,15:30,Augsburg,1-1,Freiburg,WWK Arena,
