Round,Date,Time,Team 1,FT,Team 2,Venue,Att
12,Sun Dec 20 2020,14:30,RB Salzburg,2-3,Wolfsberger AC,Red Bull Arena,
12,Sun Dec 20 2020,14:30,WSG Wattens,1-3,Ried,Tivoli Stadion Tirol,
12,Sun Dec 20 2020,17:00,Austria Wien,1-1,LASK,Generali Arena,
7,Sun Jan 17 2021,17:00,Wolfsberger AC,0-0,Sturm Graz,Lavanttal-Arena,
13,Fri Jan 22 2021,19:00,Rapid Wien,,Sturm Graz,Allianz Stadion,
13,Sat Jan 23 2021,17:00,St. Pölten,,Admira,NV Arena,
13,Sat Jan 23 2021,17:00,Wolfsberger AC,,Hartberg,Lavanttal-Arena,
13,Sat Jan 23 2021,17:00,Ried,,Austria Wien,Josko Arena,
13,Sun Jan 24 2021,14:30,SCR Altach,,RB Salzburg,CASHPOINT Arena,
13,Sun Jan 24 2021,17:00,LASK,,WSG Wattens,TGW Arena,
14,Tue Jan 26 2021,18:30,Admira,,Austria Wien,BSFZ-Arena,
14,Tue Jan 26 2021,18:30,Sturm Graz,,Hartberg,Merkur Arena,
14,Tue Jan 26 2021,20:30,Rapid Wien,,St. Pölten,Allianz Stadion,
14,Wed Jan 27 2021,18:30,RB Salzburg,,Ried,Red Bull Arena,
14,Wed Jan 27 2021,18:30,WSG Wattens,,SCR Altach,Tivoli Stadion Tirol,
14,Wed Jan 27 2021,20:30,Wolfsberger AC,,LASK,Lavanttal-Arena,
15,Sat Jan 30 2021,17:00,Ried,,Admira,Josko Arena,
15,Sat Jan 30 2021,17:00,SCR Altach,,Sturm Graz,CASHPOINT Arena,
15,Sat Jan 30 2021,17:00,Hartberg,,RB Salzburg,PROfertil ARENA,
15,Sun Jan 31 2021,14:30,Austria Wien,,WSG Wattens,Generali Arena,
15,Sun Jan 31 2021,14:30,St. Pölten,,Wolfsberger AC,NV Arena,
15,Sun Jan 31 2021,17:00,LASK,,Rapid Wien,TGW Arena,
