Round,Date,Time,Team 1,FT,Team 2,Venue,Att,Comments
36,Sun May 9 2021,,Saint-Étienne,,Marseille,Stade Geoffroy-Guichard,,
36,Sun May 9 2021,,Strasbourg,,Montpellier,Stade de la Meinau,,
36,Sun May 9 2021,,Lens,,Lille,Stade Bollaert-Delelis,,
36,Sun May 9 2021,,Lyon,,Lorient,Groupama Stadium,,
37,Sun May 16 2021,,Lorient,,Metz,Stade Yves Allainmat - Le Moustoir,,
37,Sun May 16 2021,,Montpellier,,Brest,Stade de la Mosson,,
37,Sun May 16 2021,,Dijon,,Nantes,Stade Gaston Gérard,,
37,Sun May 16 2021,,Lille,,Saint-Étienne,Stade Pierre-Mauroy,,
37,Sun May 16 2021,,Paris S-G,,Reims,Parc des Princes,,
37,Sun May 16 2021,,Monaco,,Rennes,Stade Louis II.,,
37,Sun May 16 2021,,Nîmes,,Lyon,Stade des Costières,,
37,Sun May 16 2021,,Marseille,,Angers,Orange Vélodrome,,
37,Sun May 16 2021,,Nice,,Strasbourg,Stade de Nice,,
37,Sun May 16 2021,,Bordeaux,,Lens,Stade Matmut-Atlantique,,
38,Sun May 23 2021,,Metz,,Marseille,Stade Saint-Symphorien,,
38,Sun May 23 2021,,Strasbourg,,Lorient,Stade de la Meinau,,
38,Sun May 23 2021,,Rennes,,Nîmes,Roazhon Park,,
38,Sun May 23 2021,,Lens,,Monaco,Stade Bollaert-Delelis,,
38,Sun May 23 2021,,Brest,,Paris S-G,Stade Francis-Le Blé,,
38,Sun May 23 2021,,Saint-Étienne,,Dijon,Stade Geoffroy-Guichard,,
38,Sun May 23 2021,,Lyon,,Nice,Groupama Stadium,,
38,Sun May 23 2021,,Reims,,Bordeaux,Stade Auguste-Delaune II,,
38,Sun May 23 2021,,Nantes,,Montpellier,Stade de la Beaujoire - Louis Fonteneau,,
38,Sun May 23 2021,,Angers,,Lille,Stade Raymond Kopa,,
