season,slug
2024/2025,regionalliga-bayern-2024-2025
2023/2024,regionalliga-bayern-2023-2024
2022/2023,regionalliga-bayern-2022-2023
2021/2022,regionalliga-bayern-2021-2022
2019-2021 Playoffs,regionalliga-bayern-2019-2021-playoffs
2019-2021,regionalliga-bayern-2019-2021
2018/2019,regionalliga-bayern-2018-2019
2017/2018,regionalliga-bayern-2017-2018
2016/2017,regionalliga-bayern-2016-2017
2015/2016,regionalliga-bayern-2015-2016
2014/2015,regionalliga-bayern-2014-2015
2013/2014,regionalliga-bayern-2013-2014
2012/2013,regionalliga-bayern-2012-2013
