season,slug
2024/2025,isr-ligat-haal-2024-2025
2023/2024 Relegation,isr-ligat-haal-2023-2024-relegation
2023/2024 Championship,isr-ligat-haal-2023-2024-championship
2023/2024,isr-ligat-haal-2023-2024
2023 Relegation,isr-ligat-haal-2023-relegation
2023 Playoffs,isr-ligat-haal-2023-playoffs
2022/2023,isr-ligat-haal-2022-2023
2022 Relegation,isr-ligat-haal-2022-relegation
2022 Playoffs,isr-ligat-haal-2022-playoffs
2021/2022,isr-ligat-haal-2021-2022
2021 Relegation,isr-ligat-haal-2021-relegation
2021 Playoff,isr-ligat-haal-2021-playoff
2020/2021,isr-ligat-haal-2020-2021
2020 Relegation,isr-ligat-haal-2020-relegation
2020 Playoff,isr-ligat-haal-2020-playoff
2019/2020,isr-ligat-haal-2019-2020
2019 Relegation,isr-ligat-haal-2019-relegation
2019 Playoff,isr-ligat-haal-2019-playoff
2018/2019,isr-ligat-haal-2018-2019
2018 Relegation,isr-ligat-haal-2018-relegation
2018 Playoff,isr-ligat-haal-2018-playoff
2017/2018,isr-ligat-haal-2017-2018
2017 Relegation,isr-ligat-haal-2017-relegation
2017 Playoff,isr-ligat-haal-2017-playoff
2016/2017,isr-ligat-haal-2016-2017
2016 Relegation,isr-ligat-haal-2016-relegation
2016 Playoff,isr-ligat-haal-2016-playoff
2015/2016,isr-ligat-haal-2015-2016
2015 Relegation,isr-ligat-haal-2015-relegation
2015 Playoff,isr-ligat-haal-2015-playoff
2014/2015,isr-ligat-haal-2014-2015
2014 Relegation,isr-ligat-haal-2014-relegation
2014 Playoff,isr-ligat-haal-2014-playoff
2013/2014,isr-ligat-haal-2013-2014
2013 Relegation,isr-ligat-haal-2013-relegation
2013 Playoff,isr-ligat-haal-2013-playoff
2012/2013,isr-ligat-haal-2012-2013
2012 Relegation,isr-ligat-haal-2012-relegation
2012 Playoff,isr-ligat-haal-2012-playoff
2011/2012,isr-ligat-haal-2011-2012
2011 Top Playoff,isr-ligat-haal-2011-top-playoff
2011 Middle Playoff,isr-ligat-haal-2011-middle-playoff
2011 Bottom Playoff,isr-ligat-haal-2011-bottom-playoff
2010/2011,isr-ligat-haal-2010-2011
2010 Playoff,isr-ligat-haal-2010-playoff
2010 Platzierung,isr-ligat-haal-2010-platzierung
2010 Abstieg,isr-ligat-haal-2010-abstieg
2009/2010,isr-ligat-haal-2009-2010
2008/2009,isr-ligat-haal-2008-2009
2007/2008,isr-ligat-haal-2007-2008
2006/2007,isr-ligat-haal-2006-2007
2005/2006,isr-ligat-haal-2005-2006
2004/2005,isr-ligat-haal-2004-2005
2003/2004,isr-ligat-haal-2003-2004
