season,slug
2024/2025,eng-league-two-2024-2025
2023/2024,eng-league-two-2023-2024
2022/2023,eng-league-two-2022-2023
2021/2022,eng-league-two-2021-2022
2020/2021,eng-league-two-2020-2021
2019/2020,eng-league-two-2019-2020
2018/2019,eng-league-two-2018-2019
2017/2018,eng-league-two-2017-2018
2016/2017,eng-league-two-2016-2017
2015/2016,eng-league-two-2015-2016
2014/2015,eng-league-two-2014-2015
2013/2014,eng-league-two-2013-2014
2012/2013,eng-league-two-2012-2013
2011/2012,eng-league-two-2011-2012
2010/2011,eng-league-two-2010-2011
2009/2010,eng-league-two-2009-2010
2008/2009,eng-league-two-2008-2009
2007/2008,eng-league-two-2007-2008
2006/2007,eng-league-two-2006-2007
2005/2006,eng-league-two-2005-2006
2004/2005,eng-league-two-2004-2005
2003/2004,eng-league-two-2003-2004
2002/2003,eng-league-two-2002-2003
2001/2002,eng-league-two-2001-2002
2000/2001,eng-league-two-2000-2001
1999/2000,eng-league-two-1999-2000
