season,slug
2024/2025,cze-2-fotbalova-liga-2024-2025
2023/2024,cze-2-fotbalova-liga-2023-2024
2022/2023,cze-2-fotbalova-liga-2022-2023
2021/2022,cze-2-fotbalova-liga-2021-2022
2020/2021,cze-2-fotbalova-liga-2020-2021
2019/2020,cze-2-fotbalova-liga-2019-2020
2018/2019,cze-2-fotbalova-liga-2018-2019
2017/2018,cze-2-fotbalova-liga-2017-2018
2016/2017,cze-2-fotbalova-liga-2016-2017
2015/2016,cze-2-fotbalova-liga-2015-2016
2014/2015,cze-2-fotbalova-liga-2014-2015
2013/2014,cze-2-fotbalova-liga-2013-2014
2012/2013,cze-druha-liga-2012-2013
2011/2012,cze-druha-liga-2011-2012
2010/2011,cze-2-liga-2010-2011
