season,slug
2024/2025,lie-fl-1-cup-2024-2025
2023/2024,lie-fl-1-cup-2023-2024
2022/2023,lie-fl-1-cup-2022-2023
2021/2022,lie-fl-1-cup-2021-2022
2020/2021,lie-fl-1-cup-2020-2021
2019/2020,lie-fl-1-cup-2019-2020
2018/2019,lie-fl-1-cup-2018-2019
2017/2018,lie-fl-1-cup-2017-2018
2016/2017,lie-fl-1-cup-2016-2017
2015/2016,lie-fl-1-cup-2015-2016
2014/2015,lie-fl-1-cup-2014-2015
2013/2014,lie-fl-1-cup-2013-2014
2012/2013,lie-fl-1-cup-2012-2013
2011/2012,lie-fl-1-cup-2011-2012
2010/2011,lie-fl-1-cup-2010-2011
2009/2010,lie-fl-1-cup-2009-2010
2008/2009,lie-fl-1-cup-2008-2009
