season,slug
2024/2025,arm-premier-league-2024-2025
2023/2024,arm-premier-league-2023-2024
2022/2023,arm-premier-league-2022-2023
2021/2022,arm-premier-league-2021-2022
2020/2021,arm-premier-league-2020-2021
2019/2020 Meisterschaft,arm-premier-league-2019-2020-meisterschaft
2019/2020 Abstieg,arm-premier-league-2019-2020-abstieg
2019/2020,arm-premier-league-2019-2020
2018/2019,arm-premier-league-2018-2019
2017/2018,arm-premier-league-2017-2018
2016/2017,arm-premier-league-2016-2017
2015/2016,arm-premier-league-2015-2016
2014/2015,arm-premier-league-2014-2015
2013/2014,arm-premier-league-2013-2014
2012/2013,arm-premier-league-2012-2013
2011,arm-premier-league-2011
2010,arm-premier-league-2010
2009,arm-premier-league-2009
2008 Entscheidung,arm-premier-league-2008-entscheidung
2008,arm-premier-league-2008
2007,arm-premier-league-2007
2006,arm-premier-league-2006
2005 Endrunde,arm-premier-league-2005-endrunde
2005 Abstieg,arm-premier-league-2005-abstieg
2005,arm-premier-league-2005
2004,arm-premier-league-2004
2003,arm-premier-league-2003
