season,slug
2024/2025 Finals,aus-a-league-2024-2025-finals
2024/2025,aus-a-league-2024-2025
2023/2024 Finals,aus-a-league-2023-2024-finals
2023/2024,aus-a-league-2023-2024
2022/2023 Finals,aus-a-league-2022-2023-finals
2022/2023,aus-a-league-2022-2023
2021/2022 Finals,aus-a-league-2021-2022-finals
2021/2022,aus-a-league-2021-2022
2020/2021 Finals,aus-a-league-2020-2021-finals
2020/2021,aus-a-league-2020-2021
2019/2020 Finals,aus-a-league-2019-2020-finals
2019/2020,aus-a-league-2019-2020
2018/2019 Finals,aus-a-league-2018-2019-finals
2018/2019,aus-a-league-2018-2019
2017/2018 Finals,aus-a-league-2017-2018-finals
2017/2018,aus-a-league-2017-2018
2016/2017 Finals,aus-a-league-2016-2017-finals
2016/2017,aus-a-league-2016-2017
2015/2016 Finals,aus-a-league-2015-2016-finals
2015/2016,aus-a-league-2015-2016
2014/2015 Finals,aus-a-league-2014-2015-finals
2014/2015,aus-a-league-2014-2015
2013/2014 Finals,aus-a-league-2013-2014-finals
2013/2014,aus-a-league-2013-2014
2012/2013 Finals,aus-a-league-2012-2013-finals
2012/2013,aus-a-league-2012-2013
2011/2012 Finals,aus-a-league-2011-2012-finals
2011/2012,aus-a-league-2011-2012
2010/2011 Finals,aus-a-league-2010-2011-finals
2010/2011,aus-a-league-2010-2011
2009/2010 Finals,aus-a-league-2009-2010-finals
2009/2010,aus-a-league-2009-2010
2008/2009 Finals,aus-a-league-2008-2009-finals
2008/2009,aus-a-league-2008-2009
2007/2008 Finals,aus-a-league-2007-2008-finals
2007/2008,aus-a-league-2007-2008
2006/2007 Finals,aus-a-league-2006-2007-finals
2006/2007,aus-a-league-2006-2007
2005/2006 Finals,aus-a-league-2005-2006-finals
2005/2006,aus-a-league-2005-2006
2003/2004 Finals,aus-a-league-2003-2004-finals
2003/2004,aus-a-league-2003-2004
2002/2003 Finals,aus-a-league-2002-2003-finals
2002/2003,aus-a-league-2002-2003
2001/2002 Finals,aus-a-league-2001-2002-finals
2001/2002,aus-a-league-2001-2002
2000/2001 Finals,aus-a-league-2000-2001-finals
2000/2001,aus-a-league-2000-2001
1999/2000 Finals,aus-a-league-1999-2000-finals
1999/2000,aus-a-league-1999-2000
1998/1999 Finals,aus-a-league-1998-1999-finals
1998/1999,aus-a-league-1998-1999
1997/1998 Finals,aus-a-league-1997-1998-finals
1997/1998,aus-a-league-1997-1998
1996/1997 Finals,aus-a-league-1996-1997-finals
1996/1997,aus-a-league-1996-1997
1995/1996 Finals,aus-a-league-1995-1996-finals
1995/1996,aus-a-league-1995-1996
1994/1995 Finals,aus-a-league-1994-1995-finals
1994/1995,aus-a-league-1994-1995
1993/1994 Finals,aus-a-league-1993-1994-finals
1993/1994,aus-a-league-1993-1994
1992/1993 Finals,aus-a-league-1992-1993-finals
1992/1993,aus-a-league-1992-1993
1991/1992 Finals,aus-a-league-1991-1992-finals
1991/1992,aus-a-league-1991-1992
1990/1991 Finals,aus-a-league-1990-1991-finals
1990/1991,aus-a-league-1990-1991
1989/1990 Finals,aus-a-league-1989-1990-finals
1989/1990,aus-a-league-1989-1990
1989 Finals,aus-a-league-1989-finals
1989,aus-a-league-1989
1988 Finals,aus-a-league-1988-finals
1988,aus-a-league-1988
1987,aus-a-league-1987
1986 Finals,aus-a-league-1986-finals
1986,aus-a-league-1986
1985 Finals,aus-a-league-1985-finals
1985,aus-a-league-1985
1984 Finals,aus-a-league-1984-finals
1984,aus-a-league-1984
1983,aus-a-league-1983
1982 Finals,aus-a-league-1982-finals
1982,aus-a-league-1982
1981,aus-a-league-1981
1980 Finals,aus-a-league-1980-finals
1980,aus-a-league-1980
1979 Finals,aus-a-league-1979-finals
1979,aus-a-league-1979
1978 Finals,aus-a-league-1978-finals
1978,aus-a-league-1978
1977,aus-a-league-1977
