Round,Date,Time,Team 1,FT,Team 2,Venue
29,Sat Jan 9 2021,19:00,Coritiba,,Atl Paranaense,Estádio Major Antônio Couto Pereira
29,Sat Jan 9 2021,21:00,Fortaleza,,Grêmio,Estádio Castelão
29,Sun Jan 10 2021,16:00,Flamengo,,Ceará,Estadio Jornalista Mário Filho
29,Sun Jan 10 2021,16:00,São Paulo,,Santos,Estádio do Morumbi
29,Sun Jan 10 2021,18:15,Internacional,,Goiás,Estádio José Pinheiro Borba
29,Sun Jan 10 2021,18:15,Atl Goianiense,,Bahia,Estádio Olímpico Pedro Ludovico Teixeira
29,Sun Jan 10 2021,20:30,Vasco da Gama,,Botafogo (RJ),Estádio Club de Regatas Vasco da Gama
29,Mon Jan 11 2021,20:00,Bragantino,,Atlético Mineiro,Estádio Nabi Abi Chedid
29,Wed Jan 13 2021,21:30,Corinthians,,Fluminense,Arena Corinthians
30,Sun Jan 17 2021,,Vasco da Gama,,Coritiba,Estádio Club de Regatas Vasco da Gama
30,Sun Jan 17 2021,,Santos,,Botafogo (RJ),Estádio Urbano Caldeira
30,Sun Jan 17 2021,,Fluminense,,Sport Recife,Estadio Jornalista Mário Filho
30,Sun Jan 17 2021,,Atlético Mineiro,,Atl Goianiense,Estádio Raimundo Sampaio
30,Sun Jan 17 2021,,Internacional,,Fortaleza,Estádio José Pinheiro Borba
30,Sun Jan 17 2021,,Ceará,,Bragantino,Estádio Castelão
30,Sun Jan 17 2021,,Palmeiras,,Grêmio,Allianz Parque
30,Sun Jan 17 2021,,Atl Paranaense,,São Paulo,Estádio Joaquim Américo Guimarães
30,Sun Jan 17 2021,,Goiás,,Flamengo,
28,Mon Jan 18 2021,19:00,Palmeiras,,Corinthians,Allianz Parque
31,Wed Jan 20 2021,,Goiás,,Ceará,
31,Wed Jan 20 2021,,Bragantino,,Vasco da Gama,Estádio Nabi Abi Chedid
31,Wed Jan 20 2021,,Grêmio,,Atlético Mineiro,Arena do Grêmio
31,Wed Jan 20 2021,,Bahia,,Atl Paranaense,Estádio Governador Roberto Santos
31,Wed Jan 20 2021,,Botafogo (RJ),,Atl Goianiense,Estádio Nilton Santos
31,Wed Jan 20 2021,,São Paulo,,Internacional,Estádio do Morumbi
31,Wed Jan 20 2021,,Coritiba,,Fluminense,Estádio Major Antônio Couto Pereira
31,Wed Jan 20 2021,,Flamengo,,Palmeiras,Estadio Jornalista Mário Filho
31,Wed Jan 20 2021,,Corinthians,,Sport Recife,Arena Corinthians
31,Wed Jan 20 2021,,Fortaleza,,Santos,Estádio Castelão
32,Sun Jan 24 2021,,Fluminense,,Botafogo (RJ),Estadio Jornalista Mário Filho
32,Sun Jan 24 2021,,Sport Recife,,Bahia,Estádio Adelmar da Costa Carvalho
32,Sun Jan 24 2021,,Atl Paranaense,,Flamengo,Estádio Joaquim Américo Guimarães
32,Sun Jan 24 2021,,Corinthians,,Bragantino,Arena Corinthians
32,Sun Jan 24 2021,,Ceará,,Palmeiras,Estádio Castelão
32,Sun Jan 24 2021,,Vasco da Gama,,Atlético Mineiro,Estádio Club de Regatas Vasco da Gama
32,Sun Jan 24 2021,,Atl Goianiense,,Fortaleza,Estádio Olímpico Pedro Ludovico Teixeira
32,Sun Jan 24 2021,,Internacional,,Grêmio,Estádio José Pinheiro Borba
32,Sun Jan 24 2021,,Santos,,Goiás,Estádio Urbano Caldeira
32,Sun Jan 24 2021,,São Paulo,,Coritiba,Estádio do Morumbi
23,Wed Jan 27 2021,19:00,Grêmio,,Flamengo,Arena do Grêmio
28,Wed Jan 27 2021,19:15,Atlético Mineiro,,Santos,Estádio Raimundo Sampaio
1,Wed Jan 27 2021,21:30,Palmeiras,,Vasco da Gama,Allianz Parque
30,Thu Jan 28 2021,19:00,Bahia,,Corinthians,Estádio Governador Roberto Santos
33,Sun Jan 31 2021,,Atlético Mineiro,,Fortaleza,Estádio Raimundo Sampaio
33,Sun Jan 31 2021,,Atl Goianiense,,São Paulo,Estádio Olímpico Pedro Ludovico Teixeira
33,Sun Jan 31 2021,,Fluminense,,Goiás,Estadio Jornalista Mário Filho
33,Sun Jan 31 2021,,Sport Recife,,Flamengo,Estádio Adelmar da Costa Carvalho
33,Sun Jan 31 2021,,Coritiba,,Grêmio,Estádio Major Antônio Couto Pereira
33,Sun Jan 31 2021,,Ceará,,Atl Paranaense,Estádio Castelão
33,Sun Jan 31 2021,,Palmeiras,,Botafogo (RJ),Allianz Parque
33,Sun Jan 31 2021,,Santos,,Corinthians,Estádio Urbano Caldeira
33,Sun Jan 31 2021,,Vasco da Gama,,Bahia,Estádio Club de Regatas Vasco da Gama
33,Sun Jan 31 2021,,Internacional,,Bragantino,Estádio José Pinheiro Borba
34,Sun Feb 7 2021,,Flamengo,,Vasco da Gama,Estadio Jornalista Mário Filho
34,Sun Feb 7 2021,,Bragantino,,Atl Goianiense,Estádio Nabi Abi Chedid
34,Sun Feb 7 2021,,Fortaleza,,Coritiba,Estádio Castelão
34,Sun Feb 7 2021,,Corinthians,,Ceará,Arena Corinthians
34,Sun Feb 7 2021,,Botafogo (RJ),,Sport Recife,Estádio Nilton Santos
34,Sun Feb 7 2021,,Goiás,,Atlético Mineiro,
34,Sun Feb 7 2021,,São Paulo,,Palmeiras,Estádio do Morumbi
34,Sun Feb 7 2021,,Bahia,,Fluminense,Estádio Governador Roberto Santos
34,Sun Feb 7 2021,,Atl Paranaense,,Internacional,Estádio Joaquim Américo Guimarães
34,Sun Feb 7 2021,,Grêmio,,Santos,Arena do Grêmio
35,Sat Feb 13 2021,,São Paulo,,Ceará,Estádio do Morumbi
35,Sat Feb 13 2021,,Bragantino,,Flamengo,Estádio Nabi Abi Chedid
35,Sat Feb 13 2021,,Botafogo (RJ),,Grêmio,Estádio Nilton Santos
35,Sat Feb 13 2021,,Coritiba,,Palmeiras,Estádio Major Antônio Couto Pereira
35,Sat Feb 13 2021,,Corinthians,,Atl Paranaense,Arena Corinthians
35,Sat Feb 13 2021,,Fluminense,,Atlético Mineiro,Estadio Jornalista Mário Filho
35,Sat Feb 13 2021,,Fortaleza,,Vasco da Gama,Estádio Castelão
35,Sat Feb 13 2021,,Bahia,,Goiás,Estádio Governador Roberto Santos
35,Sat Feb 13 2021,,Internacional,,Sport Recife,Estádio José Pinheiro Borba
35,Sat Feb 13 2021,,Atl Goianiense,,Santos,Estádio Olímpico Pedro Ludovico Teixeira
36,Wed Feb 17 2021,,Palmeiras,,Fortaleza,Allianz Parque
36,Wed Feb 17 2021,,Flamengo,,Corinthians,Estadio Jornalista Mário Filho
36,Wed Feb 17 2021,,Sport Recife,,Bragantino,Estádio Adelmar da Costa Carvalho
36,Wed Feb 17 2021,,Atl Paranaense,,Atl Goianiense,Estádio Joaquim Américo Guimarães
36,Wed Feb 17 2021,,Goiás,,Botafogo (RJ),
36,Wed Feb 17 2021,,Grêmio,,São Paulo,Arena do Grêmio
36,Wed Feb 17 2021,,Santos,,Coritiba,Estádio Urbano Caldeira
36,Wed Feb 17 2021,,Atlético Mineiro,,Bahia,Estádio Raimundo Sampaio
36,Wed Feb 17 2021,,Vasco da Gama,,Internacional,Estádio Club de Regatas Vasco da Gama
36,Wed Feb 17 2021,,Ceará,,Fluminense,Estádio Castelão
37,Sun Feb 21 2021,,Santos,,Fluminense,Estádio Urbano Caldeira
37,Sun Feb 21 2021,,Palmeiras,,Atl Goianiense,Allianz Parque
37,Sun Feb 21 2021,,Flamengo,,Internacional,Estadio Jornalista Mário Filho
37,Sun Feb 21 2021,,Goiás,,Bragantino,
37,Sun Feb 21 2021,,Corinthians,,Vasco da Gama,Arena Corinthians
37,Sun Feb 21 2021,,Botafogo (RJ),,São Paulo,Estádio Nilton Santos
37,Sun Feb 21 2021,,Grêmio,,Atl Paranaense,Arena do Grêmio
37,Sun Feb 21 2021,,Sport Recife,,Atlético Mineiro,Estádio Adelmar da Costa Carvalho
37,Sun Feb 21 2021,,Coritiba,,Ceará,Estádio Major Antônio Couto Pereira
37,Sun Feb 21 2021,,Fortaleza,,Bahia,Estádio Castelão
38,Wed Feb 24 2021,,Bahia,,Santos,Estádio Governador Roberto Santos
38,Wed Feb 24 2021,,Vasco da Gama,,Goiás,Estádio Club de Regatas Vasco da Gama
38,Wed Feb 24 2021,,Bragantino,,Grêmio,Estádio Nabi Abi Chedid
38,Wed Feb 24 2021,,São Paulo,,Flamengo,Estádio do Morumbi
38,Wed Feb 24 2021,,Atl Paranaense,,Sport Recife,Estádio Joaquim Américo Guimarães
38,Wed Feb 24 2021,,Atlético Mineiro,,Palmeiras,Estádio Raimundo Sampaio
38,Wed Feb 24 2021,,Internacional,,Corinthians,Estádio José Pinheiro Borba
38,Wed Feb 24 2021,,Fluminense,,Fortaleza,Estadio Jornalista Mário Filho
38,Wed Feb 24 2021,,Atl Goianiense,,Coritiba,Estádio Olímpico Pedro Ludovico Teixeira
38,Wed Feb 24 2021,,Ceará,,Botafogo (RJ),Estádio Castelão
