Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Apertura,4,Thu Aug 13 2020,00:00,Gallos Blancos,,,Cruz Azul
Apertura,4,Thu Aug 13 2020,02:00,FC Juárez,,,Deportivo Guadalajara
Apertura,4,Thu Aug 13 2020,04:00,Club Tijuana,,,Atlético San Luis
Apertura,4,Thu Aug 13 2020,04:00,Pumas UNAM,,,CF Monterrey
Apertura,4,Fri Aug 14 2020,02:00,Atlas Guadalajara,,,Deportivo Toluca
Apertura,4,Fri Aug 14 2020,04:00,CF América,,,Santos Laguna
Apertura,5,Sat Aug 15 2020,04:30,Puebla FC,,,CF Pachuca
Apertura,5,Sun Aug 16 2020,00:00,Deportivo Guadalajara,,,Atlético San Luis
Apertura,5,Sun Aug 16 2020,02:00,Cruz Azul,,,FC Juárez
Apertura,5,Sun Aug 16 2020,04:00,CF Monterrey,,,Club Necaxa
Apertura,5,Sun Aug 16 2020,04:00,Mazatlán FC,,,Pumas UNAM
Apertura,5,Sun Aug 16 2020,19:00,Deportivo Toluca,,,UANL Tigres
Apertura,5,Mon Aug 17 2020,02:00,Santos Laguna,,,Atlas Guadalajara
Apertura,5,Mon Aug 17 2020,04:00,Gallos Blancos,,,CF América
Apertura,5,Tue Aug 18 2020,04:00,Club León,,,Club Tijuana
Apertura,6,Fri Aug 21 2020,04:00,Club Tijuana,,,Puebla FC
Apertura,6,Sat Aug 22 2020,02:30,Club Necaxa,,,Santos Laguna
Apertura,6,Sat Aug 22 2020,04:30,FC Juárez,,,Club León
Apertura,6,Sun Aug 23 2020,00:00,Atlas Guadalajara,,,Gallos Blancos
Apertura,6,Sun Aug 23 2020,02:00,UANL Tigres,,,Pumas UNAM
Apertura,6,Sun Aug 23 2020,04:00,CF América,,,CF Monterrey
Apertura,6,Mon Aug 24 2020,00:30,Deportivo Toluca,,,Deportivo Guadalajara
Apertura,6,Mon Aug 24 2020,02:30,Atlético San Luis,,,Cruz Azul
Apertura,6,Tue Aug 25 2020,04:00,CF Pachuca,,,Mazatlán FC
Apertura,7,Sat Aug 29 2020,02:30,Puebla FC,,,Deportivo Toluca
Apertura,7,Sat Aug 29 2020,04:30,Mazatlán FC,,,UANL Tigres
Apertura,7,Sun Aug 30 2020,00:00,CF Monterrey,,,FC Juárez
Apertura,7,Sun Aug 30 2020,02:00,Atlético San Luis,,,CF América
Apertura,7,Sun Aug 30 2020,02:00,Deportivo Guadalajara,,,CF Pachuca
Apertura,7,Sun Aug 30 2020,04:00,Cruz Azul,,,Club Necaxa
Apertura,7,Sun Aug 30 2020,19:00,Pumas UNAM,,,Club Tijuana
Apertura,7,Mon Aug 31 2020,02:00,Santos Laguna,,,Gallos Blancos
Apertura,7,Tue Sep 1 2020,04:00,Club León,,,Atlas Guadalajara
